Beneficiary,Name of the operation,Allocated public funding (EU and national co-financing) in Euro,Status
"""Das Millstatt"" Seehotel Betriebs GmbH",Unternehmensinvestition mit Innovationsbezug,"1.122.600,00",G
A TEC Production & services GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"135.060,00",G
Alpen Adria Hotel GmbH,Unternehmensinvestition mit Innovationsbezug,"700.000,00",G
build! Gründerzentrum Kärnten GmbH,Innovationsdienstleistung für Unternehmen,"53.970,00",A
build! Gründerzentrum Kärnten GmbH,Innovationsdienstleistung für Unternehmen,"323.850,00",G
CCL Label GmbH,Unternehmensinvestition mit Innovationsbezug,"935.600,00",G
Chemson Polymer-Additive AG,Unternehmensinvestition mit Forschungs-/Technologiebezug,"402.300,00",A
EPS Industries GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"1.899.400,00",G
Familien- und Erlebnisland Ramsbacher KG,Unternehmensinvestition mit Innovationsbezug,"692.720,00",A
Fischer Edelstahlrohre Austria GmbH,Unternehmensinvestition mit Innovationsbezug,"564.000,00",G
Hotel Sandwirth GmbH,Unternehmensinvestition mit Innovationsbezug,"773.080,00",A
Kärntner Wirtschaftsförderungs Fonds,Unterstützungsmaßnahme für Regionalentwicklung,"15.288,80",A
Kärntner Wirtschaftsförderungs Fonds,"Projekt zur Vorbereitung, Durchführung, Begleitung und Kontrolle des 
Programms","2.303,27",A
Kärntner Wirtschaftsförderungs Fonds,"Evaluierung, Studien, Information","69.721,83",A
Kärntner Wirtschaftsförderungs Fonds,"Evaluierung, Studien, Information","35.971,43",A
Katschbergbahnen GmbH,Unternehmensinvestition mit Innovationsbezug,"1.391.800,00",G
Kruschitz GmbH,Unternehmensinvestition mit Innovationsbezug,"1.871.500,00",G
Kurzentrum Bad Bleiberg GmbH & Co KG,Unternehmensinvestition mit Innovationsbezug,"427.720,00",A
Lakeside Labs GmbH,Investition zur überbetrieblichen Forschungsinfrastruktur,"2.618.000,00",G
Lakeside Labs GmbH,Überbetriebliches Forschungs- und Entwicklungsprojekt,"1.069.300,00",G
Lakeside Labs GmbH,Überbetriebliches Forschungs- und Entwicklungsprojekt,"630.000,00",G
Lakeside Labs GmbH,Überbetriebliches Forschungs- und Entwicklungsprojekt,"225.000,00",G
Lakeside Labs GmbH,Überbetriebliches Forschungs- und Entwicklungsprojekt,"105.382,00",A
Lakeside Labs GmbH,Überbetriebliches Forschungs- und Entwicklungsprojekt,"779.200,00",G
Lakeside Labs GmbH,Überbetriebliches Forschungs- und Entwicklungsprojekt,"1.702.400,00",G
Lakeside Labs GmbH,Überbetriebliches Forschungs- und Entwicklungsprojekt,"64.000,00",G
Lakeside Labs GmbH,Überbetriebliches Forschungs- und Entwicklungsprojekt,"95.600,00",G
MR Super Solar GmbH,Unternehmensinvestition mit Innovationsbezug,"133.898,00",G
NORICA PELLETS GmbH und HASSLACHER HERMAGOR GmbH,Unternehmensinvestition in umweltfreundliche Produkte/Verfahren,"658.451,84",A
Panoramahotel Balance GmbH,Unternehmensinvestition mit Innovationsbezug,"639.200,00",A
Planegger Holz GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"260.590,00",G
Royal Errichtungs GmbH,Unternehmensinvestition mit Innovationsbezug,"1.613.400,00",G
SANGE CNC Fertigungstechnik GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"152.140,00",A
Seepark Hotel Errichtungs GmbH,Unternehmensinvestition mit Innovationsbezug,"2.868.000,00",G
"Tema Sägeindustrie Gesellschaft m.b.H. & Co. KG und Tema Sägeindustrie 
Gesellschaft m.b.H.",Unternehmensinvestition mit Innovationsbezug,"432.000,00",G
Thomas Hatzenbichler Agro-Technik GmbH,Unternehmensinvestition mit Innovationsbezug,"453.800,00",G
Weissenseer Holz-System-Bau GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"906.000,00",A
