lfd_nr,forderaktivitat,name_des_begunstigten,name_des_projekts,bewilligungs_jahr,bewilligter_betrag_in_euro,ausbezahlter_betrag_zum_projektende,fund_type,currency,uri
1,6,Altenheim der 1848er Gedächtnisstiftung,Altenpflege 2007,2007,2500,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
2,6,Altenheim der 1848er Gedächtnisstiftung,Altenpflege 2007,2007,2500,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
3,6,Ambulante Krankenpflege Bad Wörishofen gGmbH,Altenpflege 2007,2007,2500,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
4,6,"Ambulante Krankenpflege, Hans Kulzer",Altenpflege 2007,2007,2500,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
5,6,Arbeiterwohlfahrt Kreisverband Roth-Schwabach e. V.,Altenpflege 2007,2007,2500,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
6,6,AWO Altenwohn- und Pflegeheim Maria Juchacz,Altenpflege 2007,2007,2500,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
7,6,AWO Altenwohn- und Pflegeheim Maria Juchacz,Altenpflege 2007,2007,2500,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
8,6,AWO Altenwohn- und Pflegeheim Maria Juchacz,Altenpflege 2007,2007,2500,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
9,6,AWO Altenwohn- und Pflegeheim Maria Juchacz,Altenpflege 2007,2007,2500,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
10,6,AWO Seniorenpark,Altenpflege 2007,2007,2500,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
11,6,Awonia Gesellschaft für Wohnen und Pflege im Alter mbH,Altenpflege 2007,2007,2500,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
12,6,Awonia Gesellschaft für Wohnen und Pflege im Alter mbH,Altenpflege 2007,2007,2500,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
13,6,Awonia Gesellschaft für Wohnen und Pflege im Alter mbH,Altenpflege 2007,2007,2500,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
14,6,Azurit Rohr GmbH Azurit Seniorenzentrum Laaberg,Altenpflege 2007,2007,2500,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
15,6,Bavaria Klinik Freyung GmbH & Co. KG,Altenpflege 2007,2007,2500,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
16,6,Bruderhausstiftung Berchtesgaden,Altenpflege 2007,2007,2500,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
17,6,Caritas-Einrichtungen gGmbH Haus für Senioren St. Franziskus,Altenpflege 2007,2007,2500,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
18,6,Caritas-Einrichtungen gGmbH Haus für Senioren St. Franziskus,Altenpflege 2007,2007,2500,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
19,6,Caritas-Sozialstation Gaimershein e. V.,Altenpflege 2007,2007,2500,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
20,6,Caritas-Sozialstation St. Johannes e. V.,Altenpflege 2007,2007,2500,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
21,6,Caritasverband Bayreuth e. V.,Altenpflege 2007,2007,2500,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
22,6,Curanum Betriebs GmbH - Seniorenresidenz Rosenstraße,Altenpflege 2007,2007,2500,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
23,6,Diakonisches Werk,Altenpflege 2007,2007,2500,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
24,6,Evang. Verein für Gemeindediakonie Feuchtwangen e. V.,Altenpflege 2007,2007,2500,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
25,6,Franziskuswerk Schönbrunn gGmbH,Altenpflege 2007,2007,2500,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
26,6,Franziskuswerk Schönbrunn gGmbH,Altenpflege 2007,2007,2500,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
27,6,Franziskuswerk Schönbrunn gGmbH,Altenpflege 2007,2007,2500,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
28,6,Franziskuswerk Schönbrunn gGmbH,Altenpflege 2007,2007,2500,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
29,6,Haus Mangfall - Senioren- und Pflegeheim GmbH,Altenpflege 2007,2007,2500,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
30,6,Heimathof Simonshof,Altenpflege 2007,2007,2500,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
31,6,Hospitalstiftung Bad Windsheim,Altenpflege 2007,2007,2500,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
32,6,Kongregation der Dienerinnen der Göttlichen Vorsehung von Schönbrunn,Altenpflege 2007,2007,2500,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
33,6,Kreisalten- und Pflegeheim Werneck gGmbH,Altenpflege 2007,2007,2500,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
34,6,Leben und Wohnen im Alter gGmbH St. Elisabeth,Altenpflege 2007,2007,2500,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
35,6,Marienstift Schweinfurt Caritas-Einrichtungen gGmbH,Altenpflege 2007,2007,2500,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
36,6,Ökumenische Sozialstation für den Landkreis Weilheim-Schongau gem. GmbH,Altenpflege 2007,2007,2500,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
37,6,Ökumenische Sozialstation für den Landkreis Weilheim-Schongau gem. GmbH,Altenpflege 2007,2007,2500,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
38,6,Ökumenische Sozialstation für den Landkreis Weilheim-Schongau gem. GmbH,Altenpflege 2007,2007,2500,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
39,6,Parkwohnstift Arnstorf Hausgemeinschaften GmbH,Altenpflege 2007,2007,2500,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
40,6,Patronum Pfelgezentrum Steinmühle GmbH,Altenpflege 2007,2007,2500,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
41,6,Patronum Pfelgezentrum Steinmühle GmbH,Altenpflege 2007,2007,2500,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
42,6,Pflegeheim - Kurzzeitpflege Diakonisches Werk Weiden e. V.,Altenpflege 2007,2007,2500,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
43,6,"Pflegeheim ""Miteinander""",Altenpflege 2007,2007,2500,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
44,6,Pflegezentrum Roth,Altenpflege 2007,2007,2500,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
45,6,Pro Vita Außerklinische Intensivpflege Christina Shawky-Böhme GmbH & Co. KG,Altenpflege 2007,2007,2500,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
46,6,Pro Vita Außerklinische Intensivpflege Christina Shawky-Böhme GmbH & Co. KG,Altenpflege 2007,2007,2500,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
47,6,Seniorenstift Stadt Passau,Altenpflege 2007,2007,2500,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
48,6,Seniorenwohnen Kieferngarten,Altenpflege 2007,2007,2500,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
49,6,Seniorenwohnzentrum Postbauer-Heng des Diakonischen Werkes Regensburg e. V.,Altenpflege 2007,2007,2500,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
50,6,Seniorenzentrum Hl.-Geist-Stift,Altenpflege 2007,2007,2500,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
51,6,Seniorenzentrum Hl.-Geist-Stift,Altenpflege 2007,2007,2500,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
52,6,Wolfsteiner Altenheim-Stiftung,Altenpflege 2007,2007,2500,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
53,6,"""Die Haarscheune"", Tanja Boley",Förd. Zus. Betriebl. Ausbildungsstellen,2007,2000,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
54,6,"""Domus Vivench"", Norbert Hantich",Förd. Zus. Betriebl. Ausbildungsstellen,2007,2000,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
55,6,"""echt-haarig"" der Friseurkeller, Astrid Koropecki",Förd. Zus. Betriebl. Ausbildungsstellen,2007,2000,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
56,6,"""Goldener Löwe"", Murat Bülbül",Förd. Zus. Betriebl. Ausbildungsstellen,2007,2000,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
57,6,"""Zenntaler Hof"", Ernst Burk",Förd. Zus. Betriebl. Ausbildungsstellen,2007,2000,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
58,6,"2-Rad, Michael Stegmair",Förd. Zus. Betriebl. Ausbildungsstellen,2007,2000,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
59,6,a p p united e. K. Art pac Production,Förd. Zus. Betriebl. Ausbildungsstellen,2007,2000,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
60,6,A. B. A. Betriebsberatung GmbH,Förd. Zus. Betriebl. Ausbildungsstellen,2007,2000,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
61,6,A. Michaelis GmbH & Co. KG,Förd. Zus. Betriebl. Ausbildungsstellen,2007,2000,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
62,6,A.BE.ZET GmbH,Förd. Zus. Betriebl. Ausbildungsstellen,2007,2000,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
63,6,Aborator Baumpflege GmbH,Förd. Zus. Betriebl. Ausbildungsstellen,2007,2000,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
64,6,"absofort Bar-Cafe-Speisen, Sandor Nemeth",Förd. Zus. Betriebl. Ausbildungsstellen,2007,2000,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
65,6,ACE consulting & engineering GmbH,Förd. Zus. Betriebl. Ausbildungsstellen,2007,2000,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
66,6,Adlmaier GmbH,Förd. Zus. Betriebl. Ausbildungsstellen,2007,2000,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
67,6,"Agenturpartner Brezelbäckerei Ditsch, Steffen Lörsch",Förd. Zus. Betriebl. Ausbildungsstellen,2007,2000,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
68,6,"Agip Service Station, Angelo Pipitone",Förd. Zus. Betriebl. Ausbildungsstellen,2007,2000,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
69,6,AGS Wild & Panda GmbH,Förd. Zus. Betriebl. Ausbildungsstellen,2007,2000,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
70,6,AGS Wild & Panda GmbH,Förd. Zus. Betriebl. Ausbildungsstellen,2007,2000,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
71,6,"AH IT & TK Solution, Alexander Henghuber",Förd. Zus. Betriebl. Ausbildungsstellen,2007,2000,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
72,6,AHA! Werbeagentur GmbH,Förd. Zus. Betriebl. Ausbildungsstellen,2007,2000,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
73,6,Aida Media Ltd.,Förd. Zus. Betriebl. Ausbildungsstellen,2007,2000,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
74,6,Aktiv Fitness-Kempten GbR,Förd. Zus. Betriebl. Ausbildungsstellen,2007,2000,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
75,6,Albert Schuck GmbH & Co. KG,Förd. Zus. Betriebl. Ausbildungsstellen,2007,2000,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
76,6,Albert Schuck GmbH & Co. KG,Förd. Zus. Betriebl. Ausbildungsstellen,2007,2000,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
77,6,Albert Schuck GmbH & Co. KG,Förd. Zus. Betriebl. Ausbildungsstellen,2007,2000,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
78,6,"Allgemeinarzt, Thomas Täuber",Förd. Zus. Betriebl. Ausbildungsstellen,2007,2000,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
79,6,Allianz Generalvertretung Dill und Kern GbR,Förd. Zus. Betriebl. Ausbildungsstellen,2007,2000,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
80,6,"Allianz Generalvertretung, Jakob Paulus",Förd. Zus. Betriebl. Ausbildungsstellen,2007,2000,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
81,6,Alois Bauer Granitwerke KG,Förd. Zus. Betriebl. Ausbildungsstellen,2007,2000,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
82,6,Alois Hieble & Co.,Förd. Zus. Betriebl. Ausbildungsstellen,2007,2000,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
83,6,Alois Pauli Bau GmbH,Förd. Zus. Betriebl. Ausbildungsstellen,2007,2000,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
84,6,"Alp Media, Aysel Celik",Förd. Zus. Betriebl. Ausbildungsstellen,2007,2000,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
85,6,"Änderungsstudio, Rainer Ley",Förd. Zus. Betriebl. Ausbildungsstellen,2007,2000,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
86,6,Andreas Popp GmbH,Förd. Zus. Betriebl. Ausbildungsstellen,2007,2000,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
87,6,"Andy`s Getränkestation, Andreas Neumeister",Förd. Zus. Betriebl. Ausbildungsstellen,2007,2000,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
88,6,"Angel Hair, Sandy Rohr",Förd. Zus. Betriebl. Ausbildungsstellen,2007,2000,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
89,6,Anton Knapp & Josef Heigl GdbR,Förd. Zus. Betriebl. Ausbildungsstellen,2007,2000,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
90,6,Anwaltskanzlei Dr. Ecker und Kollegen GbR,Förd. Zus. Betriebl. Ausbildungsstellen,2007,2000,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
91,6,ANWIKAR Consultants GmbH,Förd. Zus. Betriebl. Ausbildungsstellen,2007,2000,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
92,6,Apocare GmbH,Förd. Zus. Betriebl. Ausbildungsstellen,2007,2000,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
