"Project name","Projektägare:","Region:","Beviljat ESF-stöd:","Total projektbudget:","Projektperiod:","Currency"
AZY analys i Zoch Y län,Industrifacket Metall Mellersta Norrland,Mellersta Norrland,508 956,508 956,2009-01-19 till 2009-03-19,SEK
16-24,Individ och familjeomsorgen,Mellersta Norrland,3 954 969,10 047 361,2010-01-01 till 2012-12-31,SEK
"ÅF Engineering AB Samlingsprojekt, Socialfonden",ÅF Engineering AB,Mellersta Norrland,0,0,2008-08-01 till 2009-01-31,SEK
AGera kompetensförsörjning genomförande,AGera-Arbetsgivarringen,Mellersta Norrland,3 736 200,3 736 200,2009-04-29 till 2010-04-15,SEK
AKTION Mellersta Norrland,Microsoft AB/SMS&P,Mellersta Norrland,299 700,299 700,2008-04-30 till 2008-09-05,SEK
Arbetslivscenter,MICA,Mellersta Norrland,241 500,322 000,2009-01-01 till 2009-06-30,SEK
Arena Norra Berget,"Förvaltning för arbetsmarknad, vuxenutbildning och integration",Mellersta Norrland,149 061,198 919,2008-12-01 till 2009-05-30,SEK
Återvinningspark Blåberget - förprojektering,"Förvaltning för arbetsmarknad, vuxenutbildning och integration",Mellersta Norrland,178 874,238 702,2008-12-01 till 2009-05-30,SEK
Att Läsa är Framtiden Me Nor för,Bokia AB,Mellersta Norrland,280 666,280 666,2008-11-03 till 2009-04-30,SEK
Back on track,Jamtli / Jämtlands läns museum,Mellersta Norrland,1 918 950,4 797 374,2009-01-02 till 2010-12-31,SEK
Bergslyftet,Svenstaviks Sjukhem,Mellersta Norrland,1 291 867,1 291 867,2009-09-01 till 2011-02-28,SEK
Birsta City - ett lärande köpcentrum,Birsta City,Mellersta Norrland,699 910,699 910,2008-11-11 till 2009-05-08,SEK
Birsta City - ett lärande köpcentrum,Birsta City,Mellersta Norrland,3 584 570,3 584 570,2010-01-18 till 2011-07-18,SEK
Bräcke kommuns chefsutvecklingsprogram,Personal- och löneenheten,Mellersta Norrland,437 000,437 000,2008-09-01 till 2009-12-31,SEK
Brobygget,Birka Folkhögskola,Mellersta Norrland,4 830 400,12 077 400,2008-11-01 till 2011-10-31,SEK
Bulten,ABF Örnsköldsvik,Mellersta Norrland,3 487 444,9 225 798,2008-11-01 till 2011-10-31,SEK
Carry 2011,Svenska Golfförbundet,Mellersta Norrland,98 814,98 814,2008-09-15 till 2009-03-15,SEK
Drop outs från vuxenutbildningen Jämtlands län,"Kommunförbundet Jämtlands län, Social, vård och omsorg",Mellersta Norrland,245 910,332 130,2008-11-01 till 2009-04-30,SEK
Drop outs vuxenutbildningen Jämtlands län,"Kommunförbundet Jämtlands län, Social, vård och omsorg",Mellersta Norrland,4 495 580,11 851 280,2009-07-01 till 2012-06-30,SEK
EIOs Regionala Socialfondsprojekt,EIO Medlemsservice AB,Mellersta Norrland,157 403,157 403,2008-05-01 till 2008-10-31,SEK
FAVI kompetensförsörjning,"Förvaltning för arbetsmarknad, vuxenutbildning och integration",Mellersta Norrland,286 500,286 500,2009-01-12 till 2009-06-12,SEK
Förprojekt socialt företag med halvvägshus,Coompanion Kooperativ Utveckling Jämtlands län,Mellersta Norrland,149 171,198 895,2008-08-01 till 2008-12-31,SEK
Förprojektering Frivilligorganisationer 5il2,"Härnösands kommun, Arbetslivsförvaltningen",Mellersta Norrland,498 210,498 210,2008-08-01 till 2009-01-16,SEK
Förstudie - Dörröppnare och tröskelsänkare,"Arbetsförmedligen, arbetsmarknadsområde Östersund",Mellersta Norrland,394 000,526 500,2009-05-01 till 2009-10-31,SEK
Från bidrag till egen försörjning,Kultur- utbildning- och fritidsförvaltning,Mellersta Norrland,2 542 170,6 597 570,2008-07-01 till 2011-06-30,SEK
