"name_des_begunstigten","bezeichnung_des_vorhabens","jahr_der_bewilligung","gewahrte_betrage","bei_abschluss_des_vorhabens_gezahlte_gesamtbetrage"
"Fachhochschule Koblenz ","Ada-Lovelace-Projekt, 
Mentorinnennetzwerk ",2008,9941,
"Fachhochschule Mainz ","Ada-Lovelace-Projekt, 
Mentorinnennetzwerk ",2008,17500,
"Kreisverwaltung Altenkirchen ","Jugend-Scout ",2008,26078,
"Kreisverwaltung Alzey-Worms ","Jugend-Scout ",2008,26600,
"Kreisverwaltung Bad Dürkheim ","Job-Fux ",2008,24703,
"Kreisverwaltung Bad Kreuznach ","Jugend-Scout ",2008,22014,
"Kreisverwaltung Bernkastel-Wittlich ","Kommunaler Jugend-Scout ",2008,27576,
"Kreisverwaltung Bingen 
                               ","Kommunaler Jugend-Scout ",2008,27786,
"Kreisverwaltung Birkenfeld ","Jugend-Scout ",2008,24303,
"Kreisverwaltung Bitburg-Prüm ","Jugend-Scout ",2008,25875,
"Kreisverwaltung Donnersbergkreis ","Jugend-Scout ",2008,23502,
"Kreisverwaltung Germersheim ","Job Fux ",2008,21450,
"Kreisverwaltung Germersheim ","Jugend-Scout ",2008,20620,
"Kreisverwaltung Kaiserslautern ","Jugend-Scout ",2008,26392,
"Kreisverwaltung Mayen-Koblenz ","Jugend-Scout ",2008,27768,
"Kreisverwaltung Neuwied ","Job Fux ",2008,21277,
"Kreisverwaltung Neuwied ","Kommunaler Jugend-Scout ",2008,19553,
"Kreisverwaltung Rhein-Hunsrück ","Job Fux ",2008,26820,
"Kreisverwaltung Rhein-Hunsrück ","Job Fux ",2008,25656,
"Kreisverwaltung Südliche 
Weinstraße  ","Kommunaler Jugend-Scout ",2008,19850,
"Kreisverwaltung Trier-Saarburg ","Jugend-Scout ",2008,25849,
"Kreisverwaltung Vulkan-Eifel ","Jugend-Scout ",2008,27786,
"Kreisverwaltung Vulkan-Eifel ","Jugend-Scout ",2008,27786,
"Landkreis Alzey-Worms 
(Hauptschule Alzey) ","Job Fux ",2008,20626,
"Landkreis Alzey-Worms 
(Hauptschule Wörrstadt) ","Job Fux ",2008,23908,
"Landkreis Kusel  ","Job Fux ",2008,21002,
"Landkreis Kusel ","Job Fux ",2008,19181,
"Landkreis Südwestpfalz ","Jugend-Scout ",2008,27250,
"Landkreis Südwestpfalz ","Jugend-Scout ",2008,24050,
"Landkreis Südwestpfalz ","Job Fux ",2008,27786,
"Landkreis Südwestpfalz ","Job Fux ",2008,24177,
"Stadt Koblenz ","Job Fux ",2008,26350,
"Stadt Landau ","Jugend-Scout ",2008,27786,
"Stadt Mainz ","Jugend-Scout ",2008,27786,
"Stadt Mainz ","Job Fux ",2008,27786,
"Stadt Mainz ","Job Fux ",2008,27296,
"Stadt Mainz ","Job Fux ",2008,25078,
"Stadt Mainz ","Jugend Scout ",2008,23889,
"Stadt Speyer ","Job Fux ",2008,21800,
"Stadt Zweibrücken ","Jugend-Scout ",2008,25157,
"Stadtverwaltung Andernach ","Kommunaler Jugend-Scout ",2008,27786,
"Stadtverwaltung Andernach ","Job Fux ",2008,25790,
"Stadtverwaltung Bad Kreuznach ","Job Fux ",2008,27767,
"Stadtverwaltung Bingen ","Job Fux ",2008,21500,
"Stadtverwaltung Idar-Oberstein ","Job Fux ",2008,26828,
"Stadtverwaltung Kaiserslautern ","Jugend-Scout ",2008,27593,
"Stadtverwaltung Ludwigshafen ","Job Fux ",2008,20016,
"Stadtverwaltung Ludwigshafen ","Jugend-Scout ",2008,27786,
"Stadtverwaltung Mayen ","Job Fux ",2008,13752,
"Stadtverwaltung Mayen ","Jugend-Scout ",2008,27786,
"Stadtverwaltung Neustadt/W. ","Kommunaler Jugend-Scout ",2008,22438,
"Stadtverwaltung Neuwied ","Kommunaler Jugend-Scout ",2008,27786,
"Stadtverwaltung Pirmasens ","Jugend-Scout ",2008,25154,
"Stadtverwaltung Pirmasens ","Jugend-Scout ",2008,24978,
"Stadtverwaltung Trier ","Kommunaler Jugend-Scout ",2008,26321,
"Stadtverwaltung Worms ","Job Fux ",2008,27786,
"Stadtverwaltung Worms ","Jugend-Scout ",2008,27786,
"TARGET GmbH ","Kompetenz-Beratung (KOBE) ",2008,77783,
"Universität Mainz ","Ada-Lovelace-Projekt, 
Mentorinnennetzwerk ",2008,57332,
"Verbandsgemeindeverwaltung Diez ","Job Fux ",2008,27494,
"Verbandsgemeinde Birkenfeld ","Job Fux ",2008,22363,
"Verbandsgemeinde 
Bruchmühlbach-Miesau ","Job Fux ",2008,10054,
"Verbandsgemeinde Daaden ","Job Fux ",2008,25200,
"Verbandsgemeinde Landstuhl ","Job Fux ",2008,10054,
"Verbandsgemeinde Ramstein-
Miesenbach ","Job Fux ",2008,21885,
"Verbandsgemeinde Rennerod ","Job Fux ",2008,9073,
"Verbandsgemeinde Rüdesheim ","Job Fux ",2008,22148,
"Verbandsgemeinde Weißenthurm ","Job Fux ",2008,16641,
"Verbandsgemeinde Wissen ","Job Fux ",2008,27786,
"Verbandsgemeindeverwaltung 
Höhr-Grenzhausen ","Job Fux ",2008,22459,
