"name_des_begunstigten","bezeichnung_des_vorhabens","jahr_der_bewilligung","gewahrte_betrage","bei_abschluss_des_vorhabens_gezahlte_gesamtbetrage"
"ZPT Saar e.V. Cluster 
„automotive.saarland“, 
Saarbrücken ","Fortführung und Weiterentwicklung 
des Clusters ""automotive.saarland“ ",2007,"300.000,00 €  ",
"Weltkulturerbe 
Völklinger Hütte,  
Europäisches Zentrum 
für Kunst und 
Industriekultur, 
Völklingen ","Weltkulturerbe Völklinger Hütte, 
Herrichtung und touristische 
Erschließung des Hüttenensembles ","2007/2008","5.000.000,00 €  ",
"Linnebacher Bau 
GmbH,  
Neunkirchen ","Beschäftigung einer 
Innovationsassistentin  ",2008,"15.024,00 €  ",
"IBP GmbH,  
Saarbücken ","Entwicklung eines High-End-
Korrelators auf Mikroprozessorbasis ",2008,"27.843,00 €  ",
"ALWIS e.V. – 
ArbeitsLeben 
WIrtschaft Schule 
Saarbrücken ","Wirtschaftswissen und 
Berufsorientierung in der konkreten 
Unterrichtsumsetzung ",2008,"234.280,00 €  ",
"Ministerium für 
Wirtschaft und 
Wissenschaft, 
Saarbrücken ","Neugestaltung der Printmedien der 
Saarland Offensive für Gründer (SOG) 
und Relaunch des Internetangebotes 
www.sog.saarland.de ",2008,"147.742,56 € ","144.172,39 €"
"Ministerium für 
Wirtschaft und 
Wissenschaft, 
Saarbrücken ","Anpassung der Gründercard (SOG-
Intranet) im Relaunch des 
Internetangebotes 
www.sog.saarland.de ",2008,"16.065,00 € ","16.065,00 €"
"Ministerium für 
Wirtschaft und 
Wissenschaft, 
Saarbrücken ","Bewerbung, Organisation und 
Betreuung der Kick-Off-Veranstaltung 
am 25.08.2008 ",2008,"26.536,42 € ","26.536,42 €"
"Eurokey Software 
GmbH, 
Saarbrücken ","Beschäftigung eines 
Innovationsassistenten  ",2008,"16.800,00 € ","16.800,00 €"
"DRS Innomis AG, 
Saarbrücken ","Beschäftigung eines 
Innovationsassistenten  ",2008,"18.000,00 €  ",
"Siebert 
Industrieelektronik 
GmbH, 
Eppelborn ","Beschäftigung eines 
Innovationsassistenten  
  ",2008,"5.413,33 € ","5.413,33 €"
"Inexio KGaA, 
Merzig ","Beschäftigung eines 
Innovationsassistenten ",2008,"18.000,00 €  ",
"Eyled GmbH, 
Saarbrücken ","Entwicklung eines barrierefreien 
Indoor-Navigationssystems für 
Sehbehinderte  ",2008,"77.208,00 €  ",
"tec4U 
Ingenieurgesellschaft 
mbH, 
Saarbrücken ","Beschäftigung eines 
Forschungsmitarbeiters  ",2008,"18.999,60 €  ",
"DKT Thielgen GmbH, 
Lebach ","Beschäftigung eines 
Forschungsmitarbeiters  ",2008,"19.200,00 €  ",
"Eurokey Software 
GmbH, 
Saarbrücken  ","Beschäftigung eines 
Forschungsmitarbeiters 
  ",2008,"16.500,00 €  ",
"Mecadi GmbH, 
Homburg ","Beschäftigung einer 
Forschungsmitarbeiterin ",2008,"18.600,00 €  ",
"Fistec AG, 
Saarbücken ","Beschäftigung eines 
Forschungsmitarbeiters ",2008,"16.470,00 €  ",
"Centigrade GmbH, 
Saarbrücken ","Beschäftigung eines 
Forschungsmitarbeiters   ",2008,"19.200,00 €  ",
"Handy Man 
Handelsgesellschaft 
mbH, 
Dirmingen ","Softwaretool/Vertriebsmodul zur 
kanalgesteuerten Angebotserstellung, 
-Vorhaltung und -Abrechung  von 
Hardware in Verbindung mit 
Mobilfunk-Vertragsprodukten im 
Online- und Offlinehandel ",2008,"53.994,00 €  ",
"Alfred Becker GmbH, 
Saarbrücken ","Entwicklung eines gruppenweiten 
Kundenbeziehungsmanagement-
systems und Controllingportals 
(Becker Management System-BMS) ",2008,"118.968,00 €  ",
"Fraunhofer-Institut für 
Biomedizinische 
Technik (IBMT), 
St. Ingbert ","Biomat-Centre (Projektteil B) ",2008,"2.394.081,00 €  ",
"Fraunhofer-Institut für 
Zerstörungsfreie 
Prüfverfahren (lzfP), 
Saarbrücken ","Automotive Quality Saar (AQS) - 
Baumaßnahme, Geräte und 
Erstausstattung ",2008,"9.000.000,00 €  ",
"Kontaktstelle für 
Wissens- und 
Technologietransfer 
der Universität des 
Saarlandes (KWT), 
Saarbrücken ","Förderung junger Unternehmen in der 
Gründungs- sowie in der Festigungs-
/Produktivphase ",2008,"191.780,00 €  ",
"MedienNetzwerk 
SaarLorLux e.V., 
Saarbrücken ","Onlinerland Saar 3.0 ",2008,"513.000,00 €  ",
"Zentrale für 
Produktivität und 
Technologie Saar e.V. 
(ZPT), 
Saarbrücken ","FuE-Projektbüro für den Mittelstand ",2008,"637.000,00 €  ",
"Landeshauptstadt 
Saarbrücken, 
Saarbrücken ","Eurobahnhof Saarbrücken – 
Europaallee – Terminal Nord (2. FA) ",2008,"1.183.710,00 €  ",
"Zentrale für 
Produktivität  und 
Technologie Saar e.V. 
(ZPT), 
Saarbrücken ","Beratungsprojekt „Familienfreundliche 
Arbeitswelt – Arbeiten und Leben im 
Saarland (ALS)“ ",2008,"38.300,00 €  ",
