ID,name_des_begunstigten,bezeichnung_des_vorhabens,jahr_der_bewilligung, gewahrte_betrage ,bei_abschluss_des_vorhabens_gezahlte_gesamtbetrage
438,Investitionsbank Sachsen-Anhalt,ego.-PiotenNetzwerk Sachsen-Anhalt,2007," 4,885,740.00 ",
135,"Bildungswerk der Wirtschaft Sachsen-
Anhalt e. V.","MP:Portal für interessierte Fachkräfte - ""PFIFF""",2008," 1,850,000.00 ",
323,"Gesellschaft  für Personalentwicklung
u. JobRotation mbH","Vertrag ""Job-Rotationsagentur Sachsen-Anhalt""",2008," 1,250,499.62 ",
648,"Qualifizierungsförderwerk Chemie
GmbH","VIKTORIA - Vermittlung interkultureller Kompetenzen zur
Förderung konfliktfähiger Toleranz und Orientierungsfähigkeit
gegen Rechtsradikalismus und Erprobung integrativer
Ansätze innerhalb der Berufsausbildung",2008," 1,244,566.00 ",
402,"Hoffmann &#38; Partner Fortbildung
und Beratung GmbH Halle","E - Qualifizierung spezieller Zielgruppen zur Vorbereitung
und Vertiefung von Gründungsvorhaben - business-arte",2008," 1,003,110.00 ",
125,"Bildungsvereinigung Arbeit und Leben
Sachsen-Anhalt e. V.","DIALOG - Demokratie und interkulturelle Kompetenzen für
Arbeits- und Lebensprozesse in offenen Gesellschaften",2008," 855,015.06 ",
643,"Qualifizierungsförderwerk Chemie
GmbH",Ausbilungsplatzinitiative 2007 Sachsen-Anhalt,2008," 797,614.00 ",
139,"Bildungswerk der Wirtschaft Sachsen-
Anhalt e.V.","Angewandtes Innovationsmanagement zur Generierung und
Weiterbildung von Fach- und Führungskräften in KMU",2008," 759,323.65 ",
581,METOP GmbH,"B - Fachkräftegewinung und -entwicklung - ""Alfi - Aufbau von
Lernpools zur Förderung der Ingenieurregion Dessau""",2008," 746,620.00 ",
683,"SPI Soziale Stadt und Land
Entwicklungsgesellschaft mbH","Durchführung von Einzelprojekten zur präventiven
Arbeitsmarktförderung mit besonderem Landesinteresse -
""ProSozial - Personal- und Organisationsentwicklung für die
Sozialwirtschaft",2008," 728,091.24 ",
240,"Euro-Schulen Sachsen-Anhalt Süd
GmbH","Praktikumsmaßnahme zur beruflichen Eingliederung am
Arbeitsmarkt benachteiligter Personen",2008," 663,712.00 ",
174,"Burg Giebichenstein Hochschule für
Kunst und Design Halle","Transferzentrum - Absolventenvermittlung und
wissenschaftliche Weiterbildung für Fach- und
Führungskräfte in KMU des Landes S.-A.",2008," 639,294.15 ",
399,Hochschule Harz,"Transferzentrum - Absolventenvermittlung und
wissenschaftliche Weiterbildung für Fach- und
Führungskräfte in KMU des Landes Sachsen-Anhalt",2008," 637,537.49 ",
149,"Bildungswerk der Wirtschaft Sachsen-
Anhalt e.V.","Personal- und Organisationsentwicklung-Mittel zur Sicherung
und Schaffung von Arbeitsplätzen in KMU",2008," 636,942.00 ",
401,Hochschule Merseburg,"Transferzentrum - Abolventenvermittlung und
wissenschaftliche Weiterbildung für Fach- und
Führungskräfte in KMU des Landes Sachsen-Anhalt",2008," 632,029.93 ",
400,"Hochschule Magdeburg - Stendal
(FH)","Transferzentrum - Absolventenvermittlung und
wissenschaftliche Weiterbildung für Fach- und
Führungskräfte in KMU des Landes S.-A",2008," 626,302.03 "
442,"isw Institut für Strukturpolitik und
Wirtschaftsförderung gemeinnützige
Gesellschaft mbH",POE-Südrussland,2008," 608,683.85 "
605,"Otto-von-Guericke-Universität
Magdeburg","Transferzentrum - Absolventenvermittlung und
wissenschaftliche Weiterbildung für Fach- und
Führungskräfte in KMU des Landes S.-A.",2008," 608,667.47 "
571,"Martin-Luther-Universität Halle-
Wittenberg","Transferzentrum - Absolventenvermittlung und
wissenschaftliche Weiterbildung für Fach- und
Führungskräfte in KMU des Landes S.-A.",2008," 604,368.66 "
398,Hochschule Anhalt (FH),"Transferzentrum - Absolventenvermittlung und
wissenschaftliche Weiterbildung für Fach- und
Führungskräfte in KMU des Landes S.-A. Sachsen-Anhalt",2008," 581,063.61 "
168,BTH GmbH Eisleben,"""Zukunft mit Arbet"" im Landkreis Mansfeld-Südharz,
Seminarstr. 5-6 und Steinkopfstr. 46 in 06295 Lutherstadt
Eisleben",2008," 579,121.50 "
644,"Qualifizierungsförderwerk Chemie
GmbH","Personal und -Organisationsentwicklung in Unternehmen zur
Unterstützung des Prozesses des lebenslangen Lernens - Fachkräfteinitiative Chemie Sachsen - Anhalt",2008," 557,708.00 "
200,"Christliches Jugenddorfwerk
Deutschlands e.V.",Kompetenzzentrum zur Berufsförderung im Burgenlandkreis,2008," 546,199.00 "
441,"isw Gesellschaft f. wissenschaft.
Beratung u. Dienstleistung","Kenntnisse, Fertigkeiten und Kompetenzen für internationale
Tätigkeiten:erlernen - anwenden - verbreiten",2008," 531,470.00 "
