name_des_begunstigten,bezeichnung_des_vorhabens,jahr_der_bewilligung,gewahrte_betrage,bei_abschluss_des_vorhabens_gezahlte_gesamtbetrage
"Investitionsbank Schleswig-Holstein         
- Fondsmanagement-",Risikokapitalfonds,2007,28800000,
Stadt Husum,"Ausbau d.Messehalle Husum 
z.Kongress-u.Veranstaltungszentrum",2008,12000000,
"Fraunhofer Gesellschaft zur Förderung 
der angewandten Forschung e.V.","Frauenhofer Einrichtung Marine 
Biotechnologie",2007,9000000,
"Steinbeis Temming Glückstadt GmbH & 
Co. KG / HKWG Heizkraftwerk 
Glückstadt GmbH","Grundlegende Rationalisierung einer 
Betriebsstätte in Glückstadt 
(Steinbeis)",2008,8375000,
Christian-Albrechts-Universität zu Kiel,Kieler Nanolabor,2007,4046000,
Gesellschaft für Marine Aquakultur mbH,"Aufbau des Nationalen 
Kompetenzzentrums Marikultur",2008,3586319,
"Leibniz-Institut für 
Meereswissenschaften",Zentrum für maritime Wirkstoffe,2007,2997000,
Gemeinde Timmendorfer Strand,"Küstensicherung und 
Hochwasserschutz Timmendorfer 
Strand, 3.BA",2008,2970000,
Fachhochschule Flensburg,"CEwind-Kompetenzzentrum 
Windenergie in S-H Phase II",2008,2967390,
Gemeinde Dahme Kurbetrieb,"Modernisierung des 
Kurmittelzentrums in Dahme",2007,2687860,
Hansestadt Lübeck,"Skandinavienkai, Flächenausbau 
altes Gate",2007,2240000,
Gemeinde Timmendorfer Strand,"Küstensicherung und Hochwasser in 
der Gemeinde Timmendorfer Strand, 
2. BA                           ",2007,2025000,
"Fraunhofer-Gesellschaft zur Förderung 
der Angewandten Forschung","Kompetenzzentrum 
Leistungselektronik Schleswig-
Holstein",2008,2000000,
Christian-Albrechts-Universität zu Kiel,"Marine Aquakultur-Systemforschung - 
MASY (Teilprojekt vom 
""Kompetenzzentrum Marikultur"")",2008,1929468.8,
c.a.ru.s. HMS GmbH,Virtuelles Screening optimizing Reality,2007,1700000,
"Südern GmbH & Co. KG / Südkap 
GmbH & Co KG","Errichtung einer Betriebsstätte in 
Hörnum (Südkap)",2008,1657000
Schülke & Mayr GmbH,HYGIEIA,2007,1600000
Peter Wolters GmbH,Neue Prime-Wafer Technologie,2007,1500000
"Leibnitz-Institut für 
Meereswissenschaften an der 
Universität Kiel","Nachhaltige Ernährung mit Marinen 
Organismen - NEMO (Teilprojekt vom 
""Kompetenzzentrum Marikultur"")",2008,1473632
Johler Norddruck GmbH,"Erwerb einer von Stilllegung 
bedrohten Betriebsstätte in 
Neumünster (Johler Druck)",2008,1405125
"Lübecker Marzipan-Fabrik / v. Minden & 
Bruhns GmbH & Co. KG","Erweiterung einer Betriebsstätte in 
Stockelsdorf (Lüb. Marzipan)",2008,1381788
Clausen & Bosse GmbH,"Grundleg. Rationalisierung einer 
Betriebsstätte in Leck (Clausen & 
Bosse)",2008,1313253.3
Bad Segeberg,"Sicherung Kalkberg und 
Kalkberghöhlen in Bad Segeberg",2008,1258104
Vossloh Locomotives GmbH,Multi Engine Locomotive,2007,1200000
"Sawatzki & Schüller Verwaltungs GmbH 
& Co / Semcoglas GmbH","Verlagerung einer Betriebssstätte 
nach Kropp (Semcoglas)",2008,1156350
