Liste des organismes bénéficiaires du Fonds européen de développement régional et du Fonds social européen en Lorraine,,,,,,,,,
"Nota bene : ces données concernent les projets pour lesquels le concours des Fonds européens a été approuvé en comité de programmation
Données actualisées au 18/10/2009",,,,,,,,,
Nom ou raison sociale du bénéficiaire,Intitulé du dossier,Montant du projet en coût total,Montant du cofinanceur européen,Fonds européen concerné,Région de localisation du dossier,Localisation,Programme,Catégorisation,Libellé catégorisation
A2DV Numérique,Acquisition d'outils d'impression,"1,075,000 €","75,000 €",FEDER ,LORRAINE,MOSELLE / THIONVILLE-OUEST / FLORANGE / FLORANGE,Programme opérationnel FEDER Lorraine,8,Autres investissements en entreprises
A.C.P. SARL,Mise en place d'un système de management de la qualité,"15,700 €","3,925 €",FEDER ,LORRAINE,MOSELLE / BOULAY-MOSELLE / FAULQUEMONT / FAULQUEMONT,Programme opérationnel FEDER Lorraine,7,Investissements dans les entreprises directement liées à la recherche et l'innovation (...)
ACTIE SERVICES,ACTIE SERVICES Accompagnement renforcé 2008,"19,500 €","10,000 €",FONDS SOCIAL EUROPEEN,LORRAINE,MEURTHE-ET-MOSELLE / TOUL / TOUL / TOUL,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
ACTIE SERVICES,ACTIE SERVICES PASS 2009,"16,124 €","9,162 €",FONDS SOCIAL EUROPEEN,LORRAINE,MEURTHE-ET-MOSELLE / TOUL / TOUL,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
ACTION SAUVOY,Chantiers d'insertion 2008,"150,060 €","51,220 €",FONDS SOCIAL EUROPEEN,LORRAINE,MEURTHE-ET-MOSELLE / NANCY / POMPEY / MAXEVILLE,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
ACTION SAUVOY,Chantiers d'insertion Action Sauvoy 2009,"147,400 €","55,000 €",FONDS SOCIAL EUROPEEN,LORRAINE,MEURTHE-ET-MOSELLE / NANCY / NANCY / NANCY,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
ADCTL,chantiers d'insertion PDI CG 54,"80,280 €","32,677 €",FONDS SOCIAL EUROPEEN,LORRAINE,MEURTHE-ET-MOSELLE / LUNEVILLE,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
A.D.H.A.J.,Auto Ecole Associative,"46,000 €","14,000 €",FONDS SOCIAL EUROPEEN,LORRAINE,MEURTHE-ET-MOSELLE / NANCY / POMPEY / MAXEVILLE,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
ADIE LORRAINE,Mise en oeuvre et développement d'une action d'accompagnement de projets de création de microentreprises,"307,032 €","48,573 €",FONDS SOCIAL EUROPEEN,LORRAINE,,Programme opérationnel national Fonds social européen,68,Aide au travail indépendant et à la création d'entreprise
A.D.S.N. AGENCE DE DEVELOPPEMENT DES TERRITOIRES DU SUD NANCEEN,Assistance Technique,"53,319 €","37,156 €",FONDS SOCIAL EUROPEEN,LORRAINE,MEURTHE-ET-MOSELLE / NANCY / NEUVES-MAISONS,Programme opérationnel national Fonds social européen,85,"Préparation, mise en oeuvre, suivi et inspection "
A.D.S.N. AGENCE DE DEVELOPPEMENT DES TERRITOIRES DU SUD NANCEEN,Assistance Technique PLIE Terres de Lorraine 2009,"21,410 €","14,862 €",FONDS SOCIAL EUROPEEN,LORRAINE,Multilocalisation,Programme opérationnel national Fonds social européen,85,"Préparation, mise en oeuvre, suivi et inspection "
A.D.S.N. AGENCE DE DEVELOPPEMENT DES TERRITOIRES DU SUD NANCEEN,Atelier Femmes 2009,"15,293 €","4,723 €",FONDS SOCIAL EUROPEEN,LORRAINE,Multilocalisation,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
A.D.S.N. AGENCE DE DEVELOPPEMENT DES TERRITOIRES DU SUD NANCEEN,ATELIER FEMMES CREATRICES D'ACTIVITE,"12,850 €","5,250 €",FONDS SOCIAL EUROPEEN,LORRAINE,Multilocalisation,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
A.D.S.N. AGENCE DE DEVELOPPEMENT DES TERRITOIRES DU SUD NANCEEN,SAG PLIE TERRES DE LORRAINE 2009,"121,140 €","121,140 €",FONDS SOCIAL EUROPEEN,LORRAINE,Multilocalisation,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
A.D.S.N. AGENCE DE DEVELOPPEMENT DES TERRITOIRES DU SUD NANCEEN,SOLEIL,"143,008 €","26,000 €",FONDS SOCIAL EUROPEEN,LORRAINE,Multilocalisation,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
A.D.S.N. AGENCE DE DEVELOPPEMENT DES TERRITOIRES DU SUD NANCEEN,SOLEIL 2009,"107,539 €","17,991 €",FONDS SOCIAL EUROPEEN,LORRAINE,MEURTHE-ET-MOSELLE / NANCY / NEUVES-MAISONS,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
A.D.S.N. AGENCE DE DEVELOPPEMENT DES TERRITOIRES DU SUD NANCEEN,Structure Animation et de Gestion,"86,844 €","86,844 €",FONDS SOCIAL EUROPEEN,LORRAINE,MEURTHE-ET-MOSELLE / NANCY / NEUVES-MAISONS,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
A.D.S.N. AGENCE DE DEVELOPPEMENT DES TERRITOIRES DU SUD NANCEEN,Subvention globale 2008- 2009,"1,568,140 €","781,070 €",FONDS SOCIAL EUROPEEN,LORRAINE,Multilocalisation,Programme opérationnel national Fonds social européen,86,Evaluation et études; information et communication
AFIJ,Action de préparation aux concours de la FP pour les jeunes diplômés des quartiers défavorisés du 54,"50,000 €","22,000 €",FONDS SOCIAL EUROPEEN,LORRAINE,MEURTHE-ET-MOSELLE,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
AFIJ,Action pour l'égalité des chances dans l'accès à l'emploi des jeunes diplômés issus des quartiers relevant des CUCS de Lorraine,"44,500 €","24,500 €",FONDS SOCIAL EUROPEEN,LORRAINE,Multilocalisation,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
AFPA - CENTRE DE FORMATION PROFESSIONNELLE POUR ADULTES DE METZ,ACTION DE FORMATION DES CONTRATS AIDES AFPA 2007,"105,000 €","52,500 €",FONDS SOCIAL EUROPEEN,LORRAINE,MOSELLE,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
AFPA DR LORRAINE,atelier de pédagogie personnalisée-APP,"239,800 €","119,900 €",FONDS SOCIAL EUROPEEN,LORRAINE,,Programme opérationnel national Fonds social européen,72,"Élaboration, introduction et mise en oeuvre de réformes dans les systèmes d'éducation et de formation..."
AFPIA EST NORD / CFA de Liffol le Grand,Programme Régional de Développement de la Qualité de l'Apprentissage 2008,"37,330 €","18,665 €",FONDS SOCIAL EUROPEEN,LORRAINE,,Programme opérationnel national Fonds social européen,62,Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés...
AGEFOS PME,Projets collectifs AGEFOS PME 2008 - SM 1.1.2,"93,243 €","18,841 €",FONDS SOCIAL EUROPEEN,LORRAINE,,Programme opérationnel national Fonds social européen,64,"Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
AGEFOS PME,Projets Collectifs AGEFOS PME 2008- SM 1.2.3,"346,064 €","77,472 €",FONDS SOCIAL EUROPEEN,LORRAINE,,Programme opérationnel national Fonds social européen,73,Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie...
