Liste des organismes bénéficiaires du Fonds européen de développement régional et du Fonds social européen en Poitou Charentes,,,,,,,,,
"Nota bene : ces données concernent les projets pour lesquels le concours des Fonds européens a été approuvé en comité de programmation
Données actualisées au 18/10/2009",,,,,,,,,
Nom ou raison sociale du bénéficiaire,Intitulé du dossier,Montant du projet en coût total,Montant du cofinanceur européen,Fonds européen concerné,Région de localisation du dossier,Localisation,Programme,Catégorisation,Libellé catégorisation
ACLEF,2008 APLIS CHATELLERAULT,"28,711 €","13,200 €",FONDS SOCIAL EUROPEEN,POITOU-CHARENTES,VIENNE / CHATELLERAULT,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
ACOR -INTER,A0904012T : Etude de faisabilité technico-économique d'un dispositif de recyclage des poudres anti-incendie de type ABC (les plus communes),"108,150 €","50,000 €",FEDER ,POITOU-CHARENTES,VIENNE / CHATELLERAULT / CHATELLERAULT-SUD / NAINTRE,Programme Opérationnel FEDER 2007-2013,6,Soutien aux PME pour la promotion de produits et processus de fabrication écologiques (...)
ACOR -INTER,A0904013T : Etude de faisabilité technico-économique d'un dispositif de détection hydraulique pour les installations anti-incendie de type  déluge ,"111,050 €","50,000 €",FEDER ,POITOU-CHARENTES,VIENNE / CHATELLERAULT / CHATELLERAULT-SUD / NAINTRE,Programme Opérationnel FEDER 2007-2013,6,Soutien aux PME pour la promotion de produits et processus de fabrication écologiques (...)
ACOR -INTER,AE :A0809008T A0812007T Système de dosage hydraulique constant pour l'activité d'extinction incendie  ,"573,654 €","50,000 €",FEDER ,POITOU-CHARENTES,VIENNE / CHATELLERAULT / CHATELLERAULT-SUD / NAINTRE,Programme Opérationnel FEDER 2007-2013,6,Soutien aux PME pour la promotion de produits et processus de fabrication écologiques (...)
ADASEA 86,2008 Renforcement des actions pour le soutien et l'accompagnement des agriculteurs en difficulté de la Vienne,"161,932 €","65,094 €",FONDS SOCIAL EUROPEEN,POITOU-CHARENTES,VIENNE,Programme opérationnel national Fonds social européen,64,"Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
ADASEA CHARENTE MARITIME,Elaboration d'un plan d'action de lutte contre les pesticides sur le bassin versant de la Soloire,"80,550 €","16,110 €",FEDER ,POITOU-CHARENTES,Multilocalisation,Programme Opérationnel FEDER 2007-2013,45,Gestion et distribution d'eau (eau potable)
ADIE Association pour le droit à l'initiative économique,2008 Mise en oeuvre et développement d'une action d'accompagnement de projets de création de microentreprises par des personnes en situation d'exlusion,"173,076 €","46,503 €",FONDS SOCIAL EUROPEEN,POITOU-CHARENTES,,Programme opérationnel national Fonds social européen,68,Aide au travail indépendant et à la création d'entreprise
A.D.S.E.A. Association Départementale pour la Sauvegarde de l'Enfance à l'Adulte,2009 - Auto Ecole Associative pour l'Intégration et l'Insertion Sociale et Professionnelle d'un Public en Situation d'Exclusion,"93,893 €","25,000 €",FONDS SOCIAL EUROPEEN,POITOU-CHARENTES,VIENNE / CHATELLERAULT,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
AFEC,2008 FSE Qualifiant cuisine Bedenac,"150,485 €","73,280 €",FONDS SOCIAL EUROPEEN,POITOU-CHARENTES,CHARENTE-MARITIME / JONZAC / MONTLIEU-LA-GARDE / BEDENAC,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
AFOBAT 17,2007 Amélioration de la Qualité en Apprentissage,"31,356 €","13,615 €",FONDS SOCIAL EUROPEEN,POITOU-CHARENTES,CHARENTE-MARITIME,Programme opérationnel national Fonds social européen,62,Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés...
AFPA de la Charente,Accompagnement PLIE formation AFPA,"17,550 €",,FONDS SOCIAL EUROPEEN,POITOU-CHARENTES,CHARENTE / ANGOULEME / ANGOULEME,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
