"Titolo","Prov_Comune","Ben_Finale","Sog_Proponente","Importo","Impegni","Pagamenti","Programma","Articolazione_del_Programma"
"SIURP - operazione 9.1.1.3.1","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","1.998.477,00","0,00","0,00","Programma Operativo FESR  2007/2013","Supporto alle strutture regionali e provinciali, ai Beneficiari finali e ai Soggetti attuatori nelle attivit� di monitoraggio delle operazioni finanziate."
"Bandi di Gara/Avvisi Pubblici per la Selezione delle Operazioni","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","2.500.000,00","98.126,40","80.912,94","Programma Operativo FESR  2007/2013","Supporto all�Autorit� di Gestione, al Comitato di Coordinamento del Programma, ai Responsabili degli Assi / Settori Prioritari nella realizzazione delle attivit� di coordinamento e gestione del POR."
"SIURP- Spese Iniziali ","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","10.597,44","10.597,44","10.570,41","Programma Operativo FESR  2007/2013","Supporto alle strutture regionali e provinciali, ai Beneficiari finali e ai Soggetti attuatori nelle attivit� di monitoraggio delle operazioni finanziate."
"Visita istituzionale della commissaria europea Danuta Hubner","Tutti i comuni della regione CALABRIA","Regione Calabria Dip. Programmazione Nazionale e Comunitaria","Regione Calabria Dip. Programmazione Nazionale e Comunitaria","2.465,00","2.465,00","2.465,00","Programma Operativo FESR  2007/2013","Supporto all�Autorit� di Gestione e al Responsabile dell�Informazione nella elaborazione, gestione, monitoraggio e valutazione del Piano di Comunicazione del POR."
"Retribuzione di n. 3 (tre) redattori (DDG n.2788/09)","Tutti i comuni della regione CALABRIA","Regione Calabria - Progr. Nazionale Comunitaria Affari Internaz.","Regione Calabria - Presidenza","76.331,26","76.331,26","54.090,42","Programma Operativo FESR  2007/2013","Supporto all�Autorit� di Gestione e al Responsabile dell�Informazione nella elaborazione, gestione, monitoraggio e valutazione del Piano di Comunicazione del POR."
"Comitato di Sorveglianza del POR Calabria FESR 2007-2013","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","400.000,00","70.552,30","70.077,62","Programma Operativo FESR  2007/2013","Supporto all�Autorit� di Gestione, al Comitato di Coordinamento del Programma, ai Responsabili degli Assi / Settori Prioritari nella realizzazione delle attivit� di coordinamento e gestione del POR."
"Assistenza Tecnica all�attivit� delle Unit� di Monitoraggio ","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","1.998.477,00","0,00","0,00","Programma Operativo FESR  2007/2013","Supporto alle strutture regionali e provinciali, ai Beneficiari finali e ai Soggetti attuatori nelle attivit� di monitoraggio delle operazioni finanziate."
"Serv/Esterni X Realizzazione Prodotti Editoriali e Multimediali.","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","1.103.474,00","350.751,90","13.656,52","Programma Operativo FESR  2007/2013","Supporto all�Autorit� di Gestione e al Responsabile dell�Informazione nella elaborazione, gestione, monitoraggio e valutazione del Piano di Comunicazione del POR."
"Segreteria Tecnica dell'Autorit� di Gestione.","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","1.492.104,00","0,00","0,00","Programma Operativo FESR  2007/2013","Supporto all�Autorit� di Gestione, al Comitato di Coordinamento del Programma, ai Responsabili degli Assi / Settori Prioritari nella realizzazione delle attivit� di coordinamento e gestione del POR."
"Indenn/Posizione Organizzativa/Respons/ Lin/ OP 9.1.1.1.5","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","5.016.000,00","0,00","0,00","Programma Operativo FESR  2007/2013","Supporto all�Autorit� di Gestione, al Comitato di Coordinamento del Programma, ai Responsabili degli Assi / Settori Prioritari nella realizzazione delle attivit� di coordinamento e gestione del POR."
"Autorit� per l�Uguaglianza.","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","300.000,00","0,00","0,00","Programma Operativo FESR  2007/2013","Supporto all�Autorit� di Gestione, al Comitato di Coordinamento del Programma, ai Responsabili degli Assi / Settori Prioritari nella realizzazione delle attivit� di coordinamento e gestione del POR."
"Sistema/Archiviazione/Documentazione/POR Cal.FESR 2007/2013.","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","2.000.000,00","0,00","0,00","Programma Operativo FESR  2007/2013","Supporto all�Autorit� di Gestione, al Comitato di Coordinamento del Programma, ai Responsabili degli Assi / Settori Prioritari nella realizzazione delle attivit� di coordinamento e gestione del POR."
"Assistenza Tecnica all'Autorit� di Gestione FESR 2007/2013.","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","13.190.905,00","0,00","0,00","Programma Operativo FESR  2007/2013","Supporto all�Autorit� di Gestione, al Comitato di Coordinamento del Programma, ai Responsabili degli Assi / Settori Prioritari nella realizzazione delle attivit� di coordinamento e gestione del POR."
"Studi/Fattibilit� Analisi Costi Benef/l�Attuaz. POR OP 9.1.1.2","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","918.025,00","0,00","0,00","Programma Operativo FESR  2007/2013","Azioni per rafforzare le strutture e gli strumenti tecnici e amministrativi necessari ad una migliore attuazione del POR."
"Sist/Inform/Progr/Operat/Gest/Valut/Politich/Settor/ OP 9.1.1.2","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","215.536,00","0,00","0,00","Programma Operativo FESR  2007/2013","Azioni per rafforzare le strutture e gli strumenti tecnici e amministrativi necessari ad una migliore attuazione del POR."
"1ﾰ UP del PISR ﾿Sistema delle Aree Urbane Regionali﾿OP 9.1.1.2.3","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","311.330,00","0,00","0,00","Programma Operativo FESR  2007/2013","Azioni per rafforzare le strutture e gli strumenti tecnici e amministrativi necessari ad una migliore attuazione del POR."
"2ﾰ) UP  PISR ﾿Rete Regionale delle Case della Salute""OP9.1.1.2.4","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","161.652,00","0,00","0,00","Programma Operativo FESR  2007/2013","Azioni per rafforzare le strutture e gli strumenti tecnici e amministrativi necessari ad una migliore attuazione del POR."
"3�) UPdel PISR �Legalit� e Sicurezza in Calabria OP 9.1.1.2.5","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","203.562,00","0,00","0,00","Programma Operativo FESR  2007/2013","Azioni per rafforzare le strutture e gli strumenti tecnici e amministrativi necessari ad una migliore attuazione del POR."
"4) UP PISR ﾿Piano Reg/Infrastr/Produtt/ParchiImprese OP9.1.1.2.6","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","203.562,00","0,00","0,00","Programma Operativo FESR  2007/2013","Azioni per rafforzare le strutture e gli strumenti tecnici e amministrativi necessari ad una migliore attuazione del POR."
"PIANO FIERISTICO IIﾰ SEMESTRE 2009","Tutti i comuni della regione CALABRIA","Regione Calabria - Dipartimento n. 12 Turismo, Beni culturali...","Regione Calabria - Dipartimento n. 12 Turismo, Beni culturali...","1.011.148,00","1.011.148,00","969.140,39","Programma Operativo FESR  2007/2013","Azioni per attrarre nuovi flussi turistici nazionali ed internazionali in Calabria."
"Posizioni Organizzative di Unit� di Monitoraggio OP 9.1.1.3.3","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","1.651.408,00","0,00","0,00","Programma Operativo FESR  2007/2013","Supporto alle strutture regionali e provinciali, ai Beneficiari finali e ai Soggetti attuatori nelle attivit� di monitoraggio delle operazioni finanziate."
"Area �Comunicazione con i Media 9.1.1.7.1","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","1.503.845,00","0,00","0,00","Programma Operativo FESR  2007/2013","Supporto all�Autorit� di Gestione e al Responsabile dell�Informazione nella elaborazione, gestione, monitoraggio e valutazione del Piano di Comunicazione del POR."
"Area�Comunicaz/ Integrata, Eventi e Progetti Strategici Orizz.li","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","1.064.389,00","0,00","0,00","Programma Operativo FESR  2007/2013","Supporto all�Autorit� di Gestione e al Responsabile dell�Informazione nella elaborazione, gestione, monitoraggio e valutazione del Piano di Comunicazione del POR."
"Servizi Esterni per la Comunicazione Integrata.op 9.1.1.7.3","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","662.085,00","0,00","0,00","Programma Operativo FESR  2007/2013","Supporto all�Autorit� di Gestione e al Responsabile dell�Informazione nella elaborazione, gestione, monitoraggio e valutazione del Piano di Comunicazione del POR."
"Servizi Esterni per l�Organizzazione di Eventi. OP9.1.1.7.4","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","882.779,00","0,00","0,00","Programma Operativo FESR  2007/2013","Supporto all�Autorit� di Gestione e al Responsabile dell�Informazione nella elaborazione, gestione, monitoraggio e valutazione del Piano di Comunicazione del POR."
"Serv/Esterni Messa in Onda/Trasmissioni TelevisiveRadiofoniche. ","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","882.779,00","0,00","0,00","Programma Operativo FESR  2007/2013","Supporto all�Autorit� di Gestione e al Responsabile dell�Informazione nella elaborazione, gestione, monitoraggio e valutazione del Piano di Comunicazione del POR."
